path,class_id
data/processed_rois\class_2\group00041_00041_00041009_1.jpg,2
data/processed_rois\class_3\group00041_00041_00041009_2.jpg,3
data/processed_rois\class_4\group00041_00041_00041009_3.jpg,4
data/processed_rois\class_5\group00041_00041_00041009_4.jpg,5
data/processed_rois\class_3\group00041_00041_00041009_5.jpg,3
data/processed_rois\class_1\group00041_00041_00041010_0.jpg,1
data/processed_rois\class_4\group00041_00041_00041010_1.jpg,4
data/processed_rois\class_5\group00041_00041_00041010_2.jpg,5
data/processed_rois\class_6\group00041_00041_00041010_3.jpg,6
data/processed_rois\class_4\group00041_00041_00041010_4.jpg,4
data/processed_rois\class_4\group00041_00041_00041010_5.jpg,4
data/processed_rois\class_3\group00041_00041_00041010_6.jpg,3
data/processed_rois\class_2\group00041_00041_00041010_7.jpg,2
data/processed_rois\class_5\group00041_00041_00041010_8.jpg,5
data/processed_rois\class_1\group00041_00041_00041011_0.jpg,1
data/processed_rois\class_2\group00041_00041_00041011_1.jpg,2
data/processed_rois\class_2\group00041_00041_00041011_2.jpg,2
data/processed_rois\class_5\group00041_00041_00041011_3.jpg,5
data/processed_rois\class_4\group00041_00041_00041011_4.jpg,4
data/processed_rois\class_5\group00041_00041_00041011_5.jpg,5
data/processed_rois\class_1\group00041_00041_00041012_0.jpg,1
data/processed_rois\class_2\group00041_00041_00041012_1.jpg,2
data/processed_rois\class_3\group00041_00041_00041012_2.jpg,3
data/processed_rois\class_5\group00041_00041_00041012_3.jpg,5
data/processed_rois\class_5\group00041_00041_00041012_4.jpg,5
data/processed_rois\class_1\group00041_00041_00041013_0.jpg,1
data/processed_rois\class_3\group00041_00041_00041013_1.jpg,3
data/processed_rois\class_5\group00041_00041_00041013_2.jpg,5
data/processed_rois\class_6\group00041_00041_00041013_3.jpg,6
data/processed_rois\class_4\group00041_00041_00041013_4.jpg,4
data/processed_rois\class_3\group00041_00041_00041013_5.jpg,3
data/processed_rois\class_2\group00041_00041_00041013_6.jpg,2
data/processed_rois\class_5\group00041_00041_00041013_7.jpg,5
data/processed_rois\class_4\group00041_00041_00041013_8.jpg,4
data/processed_rois\class_1\group00041_00041_00041014_0.jpg,1
data/processed_rois\class_2\group00041_00041_00041014_1.jpg,2
data/processed_rois\class_3\group00041_00041_00041014_2.jpg,3
data/processed_rois\class_3\group00041_00041_00041014_3.jpg,3
data/processed_rois\class_3\group00041_00041_00041014_4.jpg,3
data/processed_rois\class_5\group00041_00041_00041014_5.jpg,5
data/processed_rois\class_6\group00041_00041_00041014_6.jpg,6
data/processed_rois\class_5\group00041_00041_00041014_7.jpg,5
data/processed_rois\class_4\group00041_00041_00041014_8.jpg,4
data/processed_rois\class_5\group00041_00041_00041014_9.jpg,5
data/processed_rois\class_1\group00041_00041_00041015_0.jpg,1
data/processed_rois\class_3\group00041_00041_00041015_1.jpg,3
data/processed_rois\class_3\group00041_00041_00041015_2.jpg,3
data/processed_rois\class_5\group00041_00041_00041015_3.jpg,5
data/processed_rois\class_6\group00041_00041_00041015_4.jpg,6
data/processed_rois\class_1\group00041_00041_00041016_0.jpg,1
data/processed_rois\class_2\group00041_00041_00041016_1.jpg,2
data/processed_rois\class_3\group00041_00041_00041016_2.jpg,3
data/processed_rois\class_4\group00041_00041_00041016_3.jpg,4
data/processed_rois\class_5\group00041_00041_00041016_4.jpg,5
data/processed_rois\class_6\group00041_00041_00041016_5.jpg,6
data/processed_rois\class_1\group00041_00041_00041016_6.jpg,1
data/processed_rois\class_1\group00041_00041_00041016_7.jpg,1
data/processed_rois\class_1\group00041_00041_00041017_0.jpg,1
data/processed_rois\class_3\group00041_00041_00041017_1.jpg,3
data/processed_rois\class_4\group00041_00041_00041017_2.jpg,4
data/processed_rois\class_6\group00041_00041_00041017_3.jpg,6
data/processed_rois\class_5\group00041_00041_00041017_4.jpg,5
data/processed_rois\class_5\group00041_00041_00041017_5.jpg,5
data/processed_rois\class_6\group00041_00041_00041017_6.jpg,6
data/processed_rois\class_3\group00041_00041_00041017_7.jpg,3
data/processed_rois\class_6\group00041_00041_00041017_8.jpg,6
data/processed_rois\class_1\group00041_00041_00041018_0.jpg,1
data/processed_rois\class_2\group00041_00041_00041018_1.jpg,2
data/processed_rois\class_3\group00041_00041_00041018_2.jpg,3
data/processed_rois\class_4\group00041_00041_00041018_3.jpg,4
data/processed_rois\class_5\group00041_00041_00041018_4.jpg,5
data/processed_rois\class_6\group00041_00041_00041018_5.jpg,6
data/processed_rois\class_5\group00041_00041_00041018_6.jpg,5
data/processed_rois\class_1\group00041_00041_00041019_0.jpg,1
data/processed_rois\class_3\group00041_00041_00041019_1.jpg,3
data/processed_rois\class_5\group00041_00041_00041019_2.jpg,5
data/processed_rois\class_6\group00041_00041_00041019_3.jpg,6
data/processed_rois\class_4\group00041_00041_00041019_4.jpg,4
data/processed_rois\class_3\group00041_00041_00041019_5.jpg,3
data/processed_rois\class_1\group00041_00041_00041020_0.jpg,1
data/processed_rois\class_3\group00041_00041_00041020_1.jpg,3
data/processed_rois\class_3\group00041_00041_00041020_2.jpg,3
data/processed_rois\class_4\group00041_00041_00041020_3.jpg,4
data/processed_rois\class_3\group00041_00041_00041020_4.jpg,3
data/processed_rois\class_3\group00041_00041_00041020_5.jpg,3
data/processed_rois\class_1\group00041_00041_00041021_0.jpg,1
data/processed_rois\class_4\group00041_00041_00041021_1.jpg,4
data/processed_rois\class_3\group00041_00041_00041021_2.jpg,3
data/processed_rois\class_5\group00041_00041_00041021_3.jpg,5
data/processed_rois\class_6\group00041_00041_00041021_4.jpg,6
data/processed_rois\class_1\group00041_00041_00041022_0.jpg,1
data/processed_rois\class_2\group00041_00041_00041022_1.jpg,2
data/processed_rois\class_3\group00041_00041_00041022_2.jpg,3
data/processed_rois\class_5\group00041_00041_00041022_3.jpg,5
data/processed_rois\class_6\group00041_00041_00041022_4.jpg,6
data/processed_rois\class_1\group00041_00041_00041023_0.jpg,1
data/processed_rois\class_2\group00041_00041_00041023_1.jpg,2
data/processed_rois\class_3\group00041_00041_00041023_2.jpg,3
data/processed_rois\class_5\group00041_00041_00041023_3.jpg,5
data/processed_rois\class_6\group00041_00041_00041023_4.jpg,6
data/processed_rois\class_4\group00041_00041_00041023_5.jpg,4
data/processed_rois\class_3\group00041_00041_00041023_6.jpg,3
data/processed_rois\class_2\group00041_00041_00041023_7.jpg,2
data/processed_rois\class_1\group00041_00041_00041024_0.jpg,1
data/processed_rois\class_2\group00041_00041_00041024_1.jpg,2
data/processed_rois\class_3\group00041_00041_00041024_2.jpg,3
data/processed_rois\class_4\group00041_00041_00041024_3.jpg,4
data/processed_rois\class_5\group00041_00041_00041024_4.jpg,5
data/processed_rois\class_6\group00041_00041_00041024_5.jpg,6
data/processed_rois\class_4\group00041_00041_00041024_6.jpg,4
data/processed_rois\class_3\group00041_00041_00041024_7.jpg,3
data/processed_rois\class_1\group00041_00041_00041025_0.jpg,1
data/processed_rois\class_2\group00041_00041_00041025_1.jpg,2
data/processed_rois\class_3\group00041_00041_00041025_2.jpg,3
data/processed_rois\class_4\group00041_00041_00041025_3.jpg,4
data/processed_rois\class_3\group00041_00041_00041025_4.jpg,3
data/processed_rois\class_5\group00041_00041_00041025_5.jpg,5
data/processed_rois\class_6\group00041_00041_00041025_6.jpg,6
data/processed_rois\class_1\group00041_00041_00041025_7.jpg,1
data/processed_rois\class_1\group00041_00041_00041026_0.jpg,1
data/processed_rois\class_2\group00041_00041_00041026_1.jpg,2
data/processed_rois\class_3\group00041_00041_00041026_2.jpg,3
data/processed_rois\class_3\group00041_00041_00041026_3.jpg,3
data/processed_rois\class_4\group00041_00041_00041026_4.jpg,4
data/processed_rois\class_3\group00041_00041_00041026_5.jpg,3
data/processed_rois\class_4\group00041_00041_00041026_6.jpg,4
data/processed_rois\class_5\group00041_00041_00041026_7.jpg,5
data/processed_rois\class_6\group00041_00041_00041026_8.jpg,6
data/processed_rois\class_1\group00041_00041_00041027_0.jpg,1
data/processed_rois\class_2\group00041_00041_00041027_1.jpg,2
data/processed_rois\class_3\group00041_00041_00041027_2.jpg,3
data/processed_rois\class_6\group00041_00041_00041027_3.jpg,6
data/processed_rois\class_5\group00041_00041_00041027_4.jpg,5
data/processed_rois\class_4\group00041_00041_00041027_5.jpg,4
data/processed_rois\class_3\group00041_00041_00041027_6.jpg,3
data/processed_rois\class_3\group00041_00041_00041027_7.jpg,3
data/processed_rois\class_5\group00041_00041_00041027_8.jpg,5
data/processed_rois\class_6\group00041_00041_00041027_9.jpg,6
data/processed_rois\class_1\group00041_00041_00041028_0.jpg,1
data/processed_rois\class_2\group00041_00041_00041028_1.jpg,2
data/processed_rois\class_3\group00041_00041_00041028_2.jpg,3
data/processed_rois\class_4\group00041_00041_00041028_3.jpg,4
data/processed_rois\class_6\group00041_00041_00041028_4.jpg,6
data/processed_rois\class_5\group00041_00041_00041028_5.jpg,5
data/processed_rois\class_4\group00041_00041_00041028_6.jpg,4
data/processed_rois\class_3\group00041_00041_00041028_7.jpg,3
data/processed_rois\class_4\group00041_00041_00041028_8.jpg,4
data/processed_rois\class_1\group00041_00041_00041030_0.jpg,1
data/processed_rois\class_2\group00041_00041_00041030_1.jpg,2
data/processed_rois\class_3\group00041_00041_00041030_2.jpg,3
data/processed_rois\class_3\group00041_00041_00041030_3.jpg,3
data/processed_rois\class_4\group00041_00041_00041030_4.jpg,4
data/processed_rois\class_6\group00041_00041_00041030_5.jpg,6
data/processed_rois\class_5\group00041_00041_00041030_6.jpg,5
data/processed_rois\class_4\group00041_00041_00041030_7.jpg,4
data/processed_rois\class_5\group00041_00041_00041030_8.jpg,5
data/processed_rois\class_6\group00041_00041_00041030_9.jpg,6
data/processed_rois\class_1\group00041_00041_00041031_0.jpg,1
data/processed_rois\class_2\group00041_00041_00041031_1.jpg,2
data/processed_rois\class_3\group00041_00041_00041031_2.jpg,3
data/processed_rois\class_5\group00041_00041_00041031_3.jpg,5
data/processed_rois\class_6\group00041_00041_00041031_4.jpg,6
data/processed_rois\class_5\group00041_00041_00041031_5.jpg,5
data/processed_rois\class_3\group00041_00041_00041031_6.jpg,3
data/processed_rois\class_6\group00041_00041_00041031_7.jpg,6
data/processed_rois\class_2\group00041_00041_00041031_8.jpg,2
data/processed_rois\class_1\group00041_00041_00041031_9.jpg,1
data/processed_rois\class_1\group00041_00041_00041032_0.jpg,1
data/processed_rois\class_2\group00041_00041_00041032_1.jpg,2
data/processed_rois\class_3\group00041_00041_00041032_2.jpg,3
data/processed_rois\class_5\group00041_00041_00041032_3.jpg,5
data/processed_rois\class_6\group00041_00041_00041032_4.jpg,6
data/processed_rois\class_5\group00041_00041_00041032_5.jpg,5
data/processed_rois\class_3\group00041_00041_00041032_6.jpg,3
data/processed_rois\class_6\group00041_00041_00041032_7.jpg,6
data/processed_rois\class_1\group00041_00041_00041033_0.jpg,1
data/processed_rois\class_2\group00041_00041_00041033_1.jpg,2
data/processed_rois\class_4\group00041_00041_00041033_2.jpg,4
data/processed_rois\class_6\group00041_00041_00041033_3.jpg,6
data/processed_rois\class_5\group00041_00041_00041033_4.jpg,5
data/processed_rois\class_4\group00041_00041_00041033_5.jpg,4
data/processed_rois\class_1\group00041_00041_00041034_0.jpg,1
data/processed_rois\class_3\group00041_00041_00041034_1.jpg,3
data/processed_rois\class_6\group00041_00041_00041034_2.jpg,6
data/processed_rois\class_5\group00041_00041_00041034_3.jpg,5
data/processed_rois\class_3\group00041_00041_00041034_4.jpg,3
data/processed_rois\class_4\group00041_00041_00041034_5.jpg,4
data/processed_rois\class_1\group00041_00041_00041034_6.jpg,1
data/processed_rois\class_2\group00041_00041_00041034_7.jpg,2
data/processed_rois\class_4\group00041_00041_00041034_8.jpg,4
data/processed_rois\class_1\group00041_00041_00041035_0.jpg,1
data/processed_rois\class_1\group00041_00041_00041035_1.jpg,1
data/processed_rois\class_1\group00041_00041_00041035_2.jpg,1
data/processed_rois\class_4\group00041_00041_00041035_3.jpg,4
data/processed_rois\class_5\group00041_00041_00041035_4.jpg,5
data/processed_rois\class_6\group00041_00041_00041035_5.jpg,6
data/processed_rois\class_5\group00041_00041_00041035_6.jpg,5
data/processed_rois\class_3\group00041_00041_00041035_7.jpg,3
data/processed_rois\class_3\group00041_00041_00041035_8.jpg,3
data/processed_rois\class_1\group00041_00041_00041036_0.jpg,1
data/processed_rois\class_2\group00041_00041_00041036_1.jpg,2
data/processed_rois\class_3\group00041_00041_00041036_2.jpg,3
data/processed_rois\class_5\group00041_00041_00041036_3.jpg,5
data/processed_rois\class_6\group00041_00041_00041036_4.jpg,6
data/processed_rois\class_5\group00041_00041_00041036_5.jpg,5
data/processed_rois\class_3\group00041_00041_00041036_6.jpg,3
data/processed_rois\class_4\group00041_00041_00041036_7.jpg,4
data/processed_rois\class_1\group00041_00041_00041037_0.jpg,1
data/processed_rois\class_2\group00041_00041_00041037_1.jpg,2
data/processed_rois\class_2\group00041_00041_00041037_2.jpg,2
data/processed_rois\class_3\group00041_00041_00041037_3.jpg,3
data/processed_rois\class_4\group00041_00041_00041037_4.jpg,4
data/processed_rois\class_4\group00041_00041_00041037_5.jpg,4
data/processed_rois\class_6\group00041_00041_00041037_6.jpg,6
data/processed_rois\class_1\group00041_00041_00041037_7.jpg,1
data/processed_rois\class_1\group00041_00041_00041038_0.jpg,1
data/processed_rois\class_3\group00041_00041_00041038_1.jpg,3
data/processed_rois\class_3\group00041_00041_00041038_2.jpg,3
data/processed_rois\class_4\group00041_00041_00041038_3.jpg,4
data/processed_rois\class_6\group00041_00041_00041038_4.jpg,6
data/processed_rois\class_5\group00041_00041_00041038_5.jpg,5
data/processed_rois\class_5\group00041_00041_00041038_6.jpg,5
data/processed_rois\class_1\group00041_00041_00041039_0.jpg,1
data/processed_rois\class_2\group00041_00041_00041039_1.jpg,2
data/processed_rois\class_3\group00041_00041_00041039_2.jpg,3
data/processed_rois\class_4\group00041_00041_00041039_3.jpg,4
data/processed_rois\class_6\group00041_00041_00041039_4.jpg,6
data/processed_rois\class_5\group00041_00041_00041039_5.jpg,5
data/processed_rois\class_1\group00041_00041_00041040_0.jpg,1
data/processed_rois\class_2\group00041_00041_00041040_1.jpg,2
data/processed_rois\class_3\group00041_00041_00041040_2.jpg,3
data/processed_rois\class_3\group00041_00041_00041040_3.jpg,3
data/processed_rois\class_5\group00041_00041_00041040_4.jpg,5
data/processed_rois\class_6\group00041_00041_00041040_5.jpg,6
data/processed_rois\class_5\group00041_00041_00041040_6.jpg,5
data/processed_rois\class_4\group00041_00041_00041040_7.jpg,4
data/processed_rois\class_3\group00041_00041_00041040_8.jpg,3
data/processed_rois\class_1\group00041_00041_00041041_0.jpg,1
data/processed_rois\class_1\group00041_00041_00041041_1.jpg,1
data/processed_rois\class_3\group00041_00041_00041041_2.jpg,3
data/processed_rois\class_3\group00041_00041_00041041_3.jpg,3
data/processed_rois\class_6\group00041_00041_00041041_4.jpg,6
data/processed_rois\class_4\group00041_00041_00041041_5.jpg,4
data/processed_rois\class_6\group00041_00041_00041041_6.jpg,6
data/processed_rois\class_5\group00041_00041_00041041_7.jpg,5
data/processed_rois\class_4\group00041_00041_00041041_8.jpg,4
data/processed_rois\class_3\group00041_00041_00041041_9.jpg,3
data/processed_rois\class_1\group00041_00041_00041042_0.jpg,1
data/processed_rois\class_1\group00041_00041_00041042_1.jpg,1
data/processed_rois\class_2\group00041_00041_00041042_2.jpg,2
data/processed_rois\class_2\group00041_00041_00041042_3.jpg,2
data/processed_rois\class_3\group00041_00041_00041042_4.jpg,3
data/processed_rois\class_5\group00041_00041_00041042_5.jpg,5
data/processed_rois\class_4\group00041_00041_00041042_6.jpg,4
data/processed_rois\class_6\group00041_00041_00041042_7.jpg,6
data/processed_rois\class_1\group00041_00041_00041043_0.jpg,1
data/processed_rois\class_2\group00041_00041_00041043_1.jpg,2
data/processed_rois\class_3\group00041_00041_00041043_2.jpg,3
data/processed_rois\class_6\group00041_00041_00041043_3.jpg,6
data/processed_rois\class_5\group00041_00041_00041043_4.jpg,5
data/processed_rois\class_5\group00041_00041_00041043_5.jpg,5
data/processed_rois\class_4\group00041_00041_00041043_6.jpg,4
data/processed_rois\class_2\group00041_00041_00041043_7.jpg,2
data/processed_rois\class_3\group00041_00041_00041043_8.jpg,3
data/processed_rois\class_1\group00041_00041_00041043_9.jpg,1
data/processed_rois\class_1\group00041_00041_00041044_0.jpg,1
data/processed_rois\class_2\group00041_00041_00041044_1.jpg,2
data/processed_rois\class_3\group00041_00041_00041044_2.jpg,3
data/processed_rois\class_4\group00041_00041_00041044_3.jpg,4
data/processed_rois\class_6\group00041_00041_00041044_4.jpg,6
data/processed_rois\class_5\group00041_00041_00041044_5.jpg,5
data/processed_rois\class_3\group00041_00041_00041044_6.jpg,3
data/processed_rois\class_4\group00041_00041_00041044_7.jpg,4
data/processed_rois\class_1\group00041_00041_00041045_0.jpg,1
data/processed_rois\class_2\group00041_00041_00041045_1.jpg,2
data/processed_rois\class_3\group00041_00041_00041045_2.jpg,3
data/processed_rois\class_3\group00041_00041_00041045_3.jpg,3
data/processed_rois\class_5\group00041_00041_00041045_4.jpg,5
data/processed_rois\class_6\group00041_00041_00041045_5.jpg,6
data/processed_rois\class_6\group00041_00041_00041045_6.jpg,6
data/processed_rois\class_4\group00041_00041_00041045_7.jpg,4
data/processed_rois\class_4\group00041_00041_00041045_8.jpg,4
data/processed_rois\class_1\group00041_00041_00041046_0.jpg,1
data/processed_rois\class_3\group00041_00041_00041046_1.jpg,3
data/processed_rois\class_2\group00041_00041_00041046_2.jpg,2
data/processed_rois\class_4\group00041_00041_00041046_3.jpg,4
data/processed_rois\class_5\group00041_00041_00041046_4.jpg,5
data/processed_rois\class_6\group00041_00041_00041046_5.jpg,6
data/processed_rois\class_1\group00041_00041_00041047_0.jpg,1
data/processed_rois\class_2\group00041_00041_00041047_1.jpg,2
data/processed_rois\class_4\group00041_00041_00041047_2.jpg,4
data/processed_rois\class_6\group00041_00041_00041047_3.jpg,6
data/processed_rois\class_5\group00041_00041_00041047_4.jpg,5
data/processed_rois\class_5\group00041_00041_00041047_5.jpg,5
data/processed_rois\class_3\group00041_00041_00041047_6.jpg,3
data/processed_rois\class_4\group00041_00041_00041047_7.jpg,4
data/processed_rois\class_2\group00041_00041_00041047_8.jpg,2
data/processed_rois\class_1\group00041_00041_00041047_9.jpg,1
data/processed_rois\class_1\group00041_00041_00041048_0.jpg,1
data/processed_rois\class_2\group00041_00041_00041048_1.jpg,2
data/processed_rois\class_3\group00041_00041_00041048_2.jpg,3
data/processed_rois\class_4\group00041_00041_00041048_3.jpg,4
data/processed_rois\class_5\group00041_00041_00041048_4.jpg,5
data/processed_rois\class_6\group00041_00041_00041048_5.jpg,6
data/processed_rois\class_4\group00041_00041_00041048_6.jpg,4
data/processed_rois\class_3\group00041_00041_00041048_7.jpg,3
data/processed_rois\class_1\group00041_00041_00041049_0.jpg,1
data/processed_rois\class_2\group00041_00041_00041049_1.jpg,2
data/processed_rois\class_4\group00041_00041_00041049_2.jpg,4
data/processed_rois\class_4\group00041_00041_00041049_3.jpg,4
data/processed_rois\class_6\group00041_00041_00041049_4.jpg,6
data/processed_rois\class_1\group00041_00041_00041049_5.jpg,1
data/processed_rois\class_2\group00041_00041_00041049_6.jpg,2
data/processed_rois\class_4\group00041_00041_00041049_7.jpg,4
data/processed_rois\class_1\group00041_00041_00041050_0.jpg,1
data/processed_rois\class_2\group00041_00041_00041050_1.jpg,2
data/processed_rois\class_3\group00041_00041_00041050_2.jpg,3
data/processed_rois\class_3\group00041_00041_00041050_3.jpg,3
data/processed_rois\class_4\group00041_00041_00041050_4.jpg,4
data/processed_rois\class_6\group00041_00041_00041050_5.jpg,6
data/processed_rois\class_1\group00041_00041_00041051_0.jpg,1
data/processed_rois\class_3\group00041_00041_00041051_1.jpg,3
data/processed_rois\class_3\group00041_00041_00041051_2.jpg,3
data/processed_rois\class_2\group00041_00041_00041051_3.jpg,2
data/processed_rois\class_5\group00041_00041_00041051_4.jpg,5
data/processed_rois\class_6\group00041_00041_00041051_5.jpg,6
data/processed_rois\class_3\group00041_00041_00041051_6.jpg,3
data/processed_rois\class_1\group00041_00041_00041052_0.jpg,1
data/processed_rois\class_2\group00041_00041_00041052_1.jpg,2
data/processed_rois\class_3\group00041_00041_00041052_2.jpg,3
data/processed_rois\class_3\group00041_00041_00041052_3.jpg,3
data/processed_rois\class_6\group00041_00041_00041052_4.jpg,6
data/processed_rois\class_5\group00041_00041_00041052_5.jpg,5
data/processed_rois\class_4\group00041_00041_00041052_6.jpg,4
data/processed_rois\class_3\group00041_00041_00041052_7.jpg,3
data/processed_rois\class_1\group00041_00041_00041052_8.jpg,1
data/processed_rois\class_1\group00041_00041_00041053_0.jpg,1
data/processed_rois\class_2\group00041_00041_00041053_1.jpg,2
data/processed_rois\class_3\group00041_00041_00041053_2.jpg,3
data/processed_rois\class_4\group00041_00041_00041053_3.jpg,4
data/processed_rois\class_5\group00041_00041_00041053_4.jpg,5
data/processed_rois\class_6\group00041_00041_00041053_5.jpg,6
data/processed_rois\class_3\group00041_00041_00041053_6.jpg,3
data/processed_rois\class_1\group00041_00041_00041053_7.jpg,1
data/processed_rois\class_3\group00041_00041_00041053_8.jpg,3
data/processed_rois\class_3\group00041_00041_00041054_0.jpg,3
data/processed_rois\class_2\group00041_00041_00041054_1.jpg,2
data/processed_rois\class_3\group00041_00041_00041054_2.jpg,3
data/processed_rois\class_3\group00041_00041_00041054_3.jpg,3
data/processed_rois\class_4\group00041_00041_00041054_4.jpg,4
data/processed_rois\class_4\group00041_00041_00041054_5.jpg,4
data/processed_rois\class_6\group00041_00041_00041054_6.jpg,6
data/processed_rois\class_1\group00041_00041_00041055_0.jpg,1
data/processed_rois\class_3\group00041_00041_00041055_1.jpg,3
data/processed_rois\class_4\group00041_00041_00041055_2.jpg,4
data/processed_rois\class_5\group00041_00041_00041055_3.jpg,5
data/processed_rois\class_6\group00041_00041_00041055_4.jpg,6
data/processed_rois\class_3\group00041_00041_00041055_5.jpg,3
data/processed_rois\class_1\group00041_00041_00041055_6.jpg,1
data/processed_rois\class_1\group00041_00041_00041056_0.jpg,1
data/processed_rois\class_2\group00041_00041_00041056_1.jpg,2
data/processed_rois\class_3\group00041_00041_00041056_2.jpg,3
data/processed_rois\class_4\group00041_00041_00041056_3.jpg,4
data/processed_rois\class_5\group00041_00041_00041056_4.jpg,5
data/processed_rois\class_6\group00041_00041_00041056_5.jpg,6
data/processed_rois\class_1\group00041_00041_00041056_6.jpg,1
data/processed_rois\class_3\group00041_00041_00041056_7.jpg,3
data/processed_rois\class_6\group00041_00041_00041056_8.jpg,6
data/processed_rois\class_1\group00041_00041_00041057_0.jpg,1
data/processed_rois\class_2\group00041_00041_00041057_1.jpg,2
data/processed_rois\class_3\group00041_00041_00041057_2.jpg,3
data/processed_rois\class_5\group00041_00041_00041057_3.jpg,5
data/processed_rois\class_6\group00041_00041_00041057_4.jpg,6
data/processed_rois\class_4\group00041_00041_00041057_5.jpg,4
data/processed_rois\class_2\group00041_00041_00041057_6.jpg,2
data/processed_rois\class_1\group00041_00041_00041058_0.jpg,1
data/processed_rois\class_2\group00041_00041_00041058_1.jpg,2
data/processed_rois\class_4\group00041_00041_00041058_2.jpg,4
data/processed_rois\class_5\group00041_00041_00041058_3.jpg,5
data/processed_rois\class_4\group00041_00041_00041058_4.jpg,4
data/processed_rois\class_6\group00041_00041_00041058_5.jpg,6
data/processed_rois\class_1\group00041_00041_00041059_0.jpg,1
